2025-11-06 17:30:21.596923 - ALERTA: Paquete BLOQUEADO - IP: 172.16.56.239, Puerto: 8080, Protocolo: HTTPS, Razón: Puerto 8080 no permitido
2025-11-06 17:30:21.618617 - ALERTA: Paquete BLOQUEADO - IP: 141.62.50.87, Puerto: 123, Protocolo: DNS, Razón: Puerto 123 no permitido
2025-11-06 17:30:22.305517 - ALERTA: Paquete BLOQUEADO - IP: 172.18.96.43, Puerto: 3000, Protocolo: HTTPS, Razón: Puerto 3000 no permitido
2025-11-06 17:30:24.918766 - ALERTA: Paquete BLOQUEADO - IP: 142.123.56.11, Puerto: 3000, Protocolo: HTTP, Razón: Puerto 3000 no permitido
2025-11-06 17:30:24.962662 - ALERTA: Paquete BLOQUEADO - IP: 192.168.7.153, Puerto: 3000, Protocolo: UDP, Razón: Puerto 3000 no permitido
2025-11-06 17:30:25.067583 - ALERTA: Paquete BLOQUEADO - IP: 192.168.200.67, Puerto: 8080, Protocolo: SSH, Razón: Puerto 8080 no permitido
2025-11-06 17:30:26.750856 - ALERTA: Paquete BLOQUEADO - IP: 172.16.0.25, Puerto: 3000, Protocolo: UDP, Razón: IP en lista negra
2025-11-06 17:30:26.789642 - ALERTA: Paquete BLOQUEADO - IP: 192.168.1.100, Puerto: 5000, Protocolo: ICMP, Razón: IP en lista negra
2025-11-06 17:30:26.843201 - ALERTA: Paquete BLOQUEADO - IP: 192.168.97.73, Puerto: 123, Protocolo: SSH, Razón: Puerto 123 no permitido
2025-11-06 17:30:40.685917 - ALERTA: Paquete BLOQUEADO - IP: 10.209.118.109, Puerto: 3000, Protocolo: ICMP, Razón: Puerto 3000 no permitido
2025-11-06 17:30:54.990159 - ALERTA: Paquete BLOQUEADO - IP: 10.196.191.247, Puerto: 3000, Protocolo: HTTPS, Razón: Puerto 3000 no permitido
2025-11-06 17:30:54.990934 - ALERTA: Paquete BLOQUEADO - IP: 192.168.1.100, Puerto: 80, Protocolo: TCP, Razón: IP en lista negra
2025-11-06 17:30:54.991447 - ALERTA: Paquete BLOQUEADO - IP: 10.0.0.50, Puerto: 22, Protocolo: SSH, Razón: IP en lista negra
2025-11-06 17:30:54.992197 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 18344, Protocolo: TCP, Razón: Puerto 18344 no permitido
2025-11-06 17:30:54.992784 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 11175, Protocolo: TCP, Razón: Puerto 11175 no permitido
2025-11-06 17:30:54.993334 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 23363, Protocolo: TCP, Razón: Puerto 23363 no permitido
2025-11-06 17:30:54.993882 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 35687, Protocolo: TCP, Razón: Puerto 35687 no permitido
2025-11-06 17:30:54.994360 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 11614, Protocolo: TCP, Razón: Puerto 11614 no permitido
2025-11-06 17:30:54.994818 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 25656, Protocolo: TCP, Razón: Puerto 25656 no permitido
2025-11-06 17:30:54.995379 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 15803, Protocolo: TCP, Razón: Puerto 15803 no permitido
2025-11-06 17:30:54.995986 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 14006, Protocolo: TCP, Razón: Puerto 14006 no permitido
2025-11-06 17:30:54.996572 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 19838, Protocolo: TCP, Razón: Puerto 19838 no permitido
2025-11-06 17:30:54.997149 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 40087, Protocolo: TCP, Razón: Puerto 40087 no permitido
2025-11-06 17:30:54.997711 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 4464, Protocolo: TCP, Razón: Puerto 4464 no permitido
2025-11-06 17:30:54.998290 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 60699, Protocolo: TCP, Razón: Puerto 60699 no permitido
2025-11-06 17:30:54.998707 - ALERTA: Paquete BLOQUEADO - IP: 203.0.113.99, Puerto: 54744, Protocolo: TCP, Razón: Puerto 54744 no permitido
